12538	Rail S Ops 3	South Zone Ops 3
12539	Rail S Ops 4	South Zone Ops 4
12951	Sys Manage 1	System Management 1
12952	Sys Manage 2	System Management 2
12953	Sys Manage 3	System Management 3 (Phase II testing)
12954	Sys Manage 4	System Management 4
12990	Sys Manage Test1	System Management Testing 1
12991	Sys Manage Test2	System Management Testing 2
12992	Sys Manage Test3	System Management Testing 3
12993	Sys Manage Test4	System Management Testing 4
13001	Kenai PD	Kenai Police
13101	Guardian Flight	Guardian Flight Dispatch
13201	Valdez PD	Valdez Police - Dispatch
13204	Valdez FD	Valdez Fire - Dispatch
13301	Whittier PD Disp	Whittier Police Dispatch
13303	Whittier PD Tac	Whittier Police Tac
13305	Whittier FD Disp	Whittier Fire Dispatch
13307	Whittier FD Tac	Whittier Fire Tac
13308	Whittier EMS	Whittier EMS
13401	ADOT Whittier D	Tunnel Dispatch
13403	ADOT Whittier O	Tunnel Operations
13405	ADOT Whittier M	Tunnel Maintenance
13600	Mat-Su A/C	Animal Control
13601	Mat-Su FD 1	Mat-Su Valley Fire/EMS Dispatch (simulcast of 154.295)
13604	Mat-Su DF Tac 11	Mat-Su Valley Fire/EMS Tactical 11
13605	Mat-Su FD Hs	Mat-Su Valley Fire/EMS Hospital
13606	Mat-Su DF Tac 12	Mat-Su Valley Fire/EMS Tactical 12
13624	Mat-Su Sch	Borough School District
13631	Mat-Su Sch F	Borough School District Facilities
13636	Mat-Su Sch O	Borough School District Ops
13851	Wasilla PD	Wasilla Police
13853	WasillaPD T1	Wasilla Police Tactical 1
13855	WasillaPD T2	Wasilla Police Tactical 2
13857	Wasilla FD	Wasilla Fire/EMS
13911	Palmer PD 1	Palmer Police 1
13912	Palmer PD 2	Palmer Police 2
13913	Palmer PD T1	Palmer Police Tactical 1
13914	Palmer PD T2	Palmer Police Tactical 2
13915	Palmer PD Op	Palmer Police Ops
13916	Palmer FD	Palmer Fire Ops
13921	Palmer City	Palmer City Government
14323	Copper Val EMS	Copper River EMS
14324	Copper Valley FD	Copper Valley Fire
14401	Cordova PD	Cordova Police
14501	Events 1	Special Events 1
14502	Events 2	Special Events 2
14503	Events 3	Special Events 3
15011	CPES Disp	Central Peninsula Emergency Services Dispatch
15015	CPES Tac	Central Peninsula Emergency Services Tactical
15019	Kenai School	Kenai Borough School District
15021	Kenai EmergA	Borough Emergency Tac A
15022	Kenai EmergB	Borough Emergency Tac B
15023	Kenai EmergC	Borough Emergency Tac C
15024	Kenai EmergD	Borough Emergency Tac D
15025	BearCreek FD	Bear Creek Volunteer Fire
15026	Seward EMS	Seward Volunteer Ambulance Corps
15027	MoosePass FD	Moose Pass Volunteer Fire/EMS
